id,decimal,name
0,6,ALGO
31566704,6,USDC
388502764,6,SVANSY
465865291,6,STBL
312769,6,USDT
287867876,10,OPUL
329110405,0,Tacos
793124631,6,gALGO
386195940,8,goETH
27165954,6,PLANET
226701642,6,Yieldly
300208676,6,SMILE
386192725,8,goBTC
400593267,8,DeFi-nite
470842789,6,DEFLY
478549868,0,BIRDS
511484048,2,STKE
607591690,6,XGLI
684649988,6,GARD
722955559,2,DeLTA
807691608,5,TEAR
818179690,6,AF-BANK-ALGO
818184214,6,AF-BANK-goBTC
818188553,6,AF-BANK-goETH
841126810,6,STBL2
841157954,6,AF-BANK-STBL2
900652777,6,BANK
900919286,6,AF-BANK-BANK
796425061,6,COOP
1096015467,6,PEPE
